URL,Label
ctt.j-orders.online/,Bad
"romebarbies.com/jp
",Good
"rebrand.ly/e
",Good
"ctt.j-orders.online/
",Bad
"shortlinks.su/s/
",Bad
"fusewave.co.uk/.well-known/user/sbb-online/ticket/torsion/...
",Bad
"stakeenus.matrizluzenergia.com.br...
",Bad
"happylizard.build.wpsandbox.app/majahil/dpd/dpd/de/...
",Good
"jinhua.synicsw.com/news.html
",Bad
"fodstores.ne.ng/wp-includes/bt/BTnew/btconnect.php...
",Good
"natori.biz
 ",Bad
"natori.biz
 ",Bad
"bit[.]do/acualizar
 ",Bad
"fixedmoments.com/
 ",Good
"app.getresponse.com/site/bcefdedbbdfbbadb/?u=...
 ",Bad
"nablogin.device-protectvisions-online.com...
 ",Good
"eki-service.top/
 ",Bad
"galleryofemind.com/wp-includes/avito/motos/...
 ",Good
"www.dbs.digital-internet-web-sg.online...
 ",Good
"coinexglobal-login.tk/
 ",Bad
"app-coin-galages.blogspot.com/
  ",Bad
"optus-equifax.herokuapp.com
  ",Bad
"coinexglobal-login.ga/
 ",Bad
"coinexglobal-login.gq/
 ",Bad
"coinexglobal-login.ml/
 ",Bad
"www[.]dbs[.]digital-internet-web-sg[.]online...
 ",Bad
"www.azaon.co.jp.login.zfmcw.cn/ap/signin...
 ",Good
"www.azaon.co.jp.login.lbhmp.cn/ap/signin...
 ",Good
"www.azaon.co.jp.login.tfdjx.cn/ap/signin...
 ",Good
"www.azaon.co.jp.login.sgnmg.cn/ap/signin...
 ",Good
"bqmzx.com/
 ",Bad
"bumzx.com/
 ",Bad
"bumzc.com/
 ",Bad
"bcmzx.com/
 ",Bad
"aihome.jp
 ",Bad
"buffr.com
  ",Bad
"sepantaeng.com/wp-content/plugins/bt/BTnew/btconnect.php...
  ",Good
"SP-TO-BE-DELETED
  ",Bad
"aihome.ink
  ",Bad
"eeverify.net/
  ",Bad
"ee.co.uk.billreviewals.net/
  ",Bad
"ee-biii.com/
  ",Good
"excellentuntriedconditions.seggs.repl.co/...
 ",Bad
"imaginaryones-november.com/
 ",Bad
"dev-bigtsitioenlinea.paneonsite.io/
 ",Bad
"artgobbiers.art/
  ",Bad
"hotm.art/nMOmgf
  ",Bad
"www.black-friday-antecipada.com/ff/afcfcd/...
  ",Bad
"cupons.alfaprodutos.com.br/promocao-panelas/...
  ",Bad
"eblackfridey.com/
  ",Bad
"www.fortunegroup.com.vn/news.html
  ",Bad
